ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
humilierait	ymiliRE	humilier	VER	VER			cnd:pre:3s;	#_y|m_i|l_i_#|R_E	h_u|m_i|l_i_e|r_ait	0,14	0,01
hurleraient	yRl°RE	hurler	VER	VER			cnd:pre:3p;	#_y_R|l_°|R_E	h_u_r|l_e|r_aient	0,14	0,01
huron	yR§	huron	ADJ	ADJ,NOM	m	s		#_y|R_§	h_u|r_on	0	0,01
huron	yR§	huron	NOM	ADJ,NOM	m	s		#_y|R_§	h_u|r_on	0	0,01
huronne	yROn	huron	NOM	ADJ,NOM	f	s		#_y|R_O_n_#	h_u|r_o_nn_e	0	0,01
hurrah	yRa	hurrah	NOM	NOM,ONO	m	s		#_y|R_a_#	h_u|rr_a_h	0	0,01
hussarde	ysaRd	hussard	NOM	NOM	f	s		#_y|s_a_R_d_#	h_u|ss_a_r_d_e	0,27	0,01
huîtrier	8itRie	huîtrier	NOM	NOM	m	s		#_8_i|t_R_i|e	h_u_î|t_r_i|er	0	0,01
hybridé	ibRide	hybrider	VER	VER	m	s	par:pas;	#_i|b_R_i|d_e	h_y|b_r_i|d_é	0	0,01
hydatique	idatik	hydatique	ADJ	ADJ		s		#_i|d_a|t_i_k_#	h_y|d_a|t_i_qu_e	0	0,01
hydratants	idRat@	hydratant	ADJ	ADJ	m	p		#_i|d_R_a|t_@_#	h_y|d_r_a|t_an_ts	0	0,01
hydraulicien	idRolisj5	hydraulicien	NOM	NOM	m	s		#_i|d_R_o|l_i|s_j_5	h_y|d_r_au|l_i|c_i_en	0	0,01
hydrauliques	idRolik	hydraulique	NOM	ADJ,NOM	f	p		#_i|d_R_o|l_i_k_#	h_y|d_r_au|l_i_qu_es	0	0,01
hydrocéphalie	idRosefali	hydrocéphalie	NOM	NOM	f	s		#_i|d_R_o|s_e|f_a|l_i_#	h_y|d_r_o|c_é|ph_a|l_i_e	0	0,01
hydrodynamique	idRodinamik	hydrodynamique	ADJ	ADJ	f	s		#_i|d_R_o|d_i|n_a|m_i_k_#	h_y|d_r_o|d_y|n_a|m_i_qu_e	0	0,01
hydrographie	idRogRafi	hydrographie	NOM	NOM	f	s		#_i|d_R_o|g_R_a|f_i_#	h_y|d_r_o|g_r_a|ph_i_e	0,07	0,01
hydrogènes	idRoZEn	hydrogène	NOM	NOM	m	p		#_i|d_R_o|Z_E_n_#	h_y|d_r_o|g_è_n_es	0	0,01
hydrophobe	idRofOb	hydrophobe	ADJ	ADJ	f	s		#_i|d_R_o|f_O_b_#	h_y|d_r_o|ph_o_b_e	0	0,01
hydrophyte	idRofit	hydrophyte	NOM	NOM	f	s		#_i|d_R_o|f_i_t_#	h_y|d_r_o|ph_y_t_e	0	0,01
hydropisie	idRopizi	hydropisie	NOM	NOM	f	s		#_i|d_R_o|p_i|z_i_#	h_y|d_r_o|p_i|s_i_e	0,27	0,01
hydropneumatique	idRopn2matik	hydropneumatique	ADJ	ADJ	m	s		#_i|d_R_o_p|n_2|m_a|t_i_k_#	h_y|d_r_o_p|n_eu|m_a|t_i_qu_e	0,14	0,01
hydrostatique	idRostatik	hydrostatique	NOM	ADJ,NOM	f	s		#_i|d_R_o_s|t_a|t_i_k_#	h_y|d_r_o_s|t_a|t_i_qu_e	0	0,01
hydrox	idROks	hydrox	NOM	NOM	m			#_i|d_R_O_ks	h_y|d_r_o_x	0	0,01
hygiènes	iZjEn	hygiène	NOM	NOM	f	p		#_i|Z_j_E_n_#	h_y|g_i_è_n_es	0,07	0,01
hygiéniquement	iZjenik°m@	hygiéniquement	ADV	ADV				#_i|Z_j_e|n_i|k_°|m_@	h_y|g_i_é|n_i|qu_e|m_ent	0,07	0,01
hygiénistes	iZjenist	hygiéniste	NOM	NOM		p		#_i|Z_j_e|n_i_s_t_#	h_y|g_i_é|n_i_s_t_es	0,14	0,01
hygromètres	igRomEtR	hygromètre	NOM	NOM	m	p		#_i|g_R_o|m_E_t_R_#	h_y|g_r_o|m_è_t_r_es	0,07	0,01
hyperacidité	ipERasidite	hyperacidité	NOM	NOM	f	s		#_i|p_E|R_a|s_i|d_i|t_e	h_y|p_e|r_a|c_i|d_i|t_é	0	0,01
hyperbolique	ipERbolik	hyperbolique	ADJ	ADJ		s		#_i|p_E_R|b_o|l_i_k_#	h_y|p_e_r|b_o|l_i_qu_e	0,2	0,01
