ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
je	Z°	je	PRO:per	NOM,PRO:per		s		Z_°	j_e	10862,77	25983,2
de	d°	de	PRE	ART:def,PRE				d_°	d_e	38928,92	25220,86
est	e	être	VER	ADJ,NOM,AUX,VER			ind:pre:3s;	e_#_#	e_s_t	6331,76	19417,69
pas	pa	pas	ADV	ADV,NOM				p_a_#	p_a_s	8795,14	18188,15
la	la	la	ART:def	ART:def,NOM,PRO:per	f	s		l_a	l_a	23633,92	14946,48
tu	ty	tu	PRO:per	VER,ADJ,NOM,PRO:per		s		t_y	t_u	2537,03	14661,76
le	l°	le	ART:def	ART:def,PRO:per	m	s		l_°	l_e	18310,95	13652,76
vous	vu	vous	PRO:per	PRO:per		p		v_u_#	v_ou_s	3507,16	13589,7
ne	n°	ne	ADV	ADV				n_°	n_e	7752,09	13357,03
il	il	il	PRO:per	ADJ:num,ADV,PRO:per	m	s		i_l	i_l	15832,09	13222,93
et	e	et	CON	CON				e	et	20879,73	12909,08
à	a	à	PRE	PRE				a	à	19209,05	12190,4
un	1	un	ART:ind	ADJ:num,ART:ind,PRO:ind	m	s		1	un	13550,68	12087,62
ça	sa	ça	PRO:dem	NOM,PRO:dem		s		s_a	ç_a	2477,64	8933,66
n'	n	ne	ADV	AUX,NOM,PRO:per,ADV				n_#	n_'	6084,12	8860,45
les	le	les	ART:def	ART:def,PRO:per		p		l_e_#	l_e_s	14662,3	8720,38
on	§	on	PRO:per	NOM,PRO:per		s		§	on	4838,38	8586,4
l'	l	l'	ART:def	NOM,ART:def,LIA,PRO:per	m	s		l_#	l_'	12746,76	8129,41
une	yn	une	ART:ind	ADJ:num,ART:ind,NOM,PRO:ind	f	s		y_n_#	u_n_e	9587,97	7907,85
d'	d	d'	PRE	NOM,PRE				d_#	d_'	11876,35	7224,74
pour	puR	pour	PRE	NOM,PRE				p_u_R	p_ou_r	6198,24	7078,55
a	a	avoir	AUX	NOM,AUX,VER			ind:pre:3s;	a	a	2926,69	6350,91
des	de	des	ART:ind	ART:ind		p		d_e_#	d_e_s	10624,93	6055,71
en	@	en	PRE	ADV,PRE,PRO:per				@	en	8732,57	5689,68
a	a	avoir	VER	NOM,AUX,VER			ind:pre:3s;	a	a	1669,39	5498,34
qui	ki	qui	PRO:rel	PRO:int,PRO:rel				k_i	qu_i	7897,91	5344,98
ce	s2	ce	PRO:dem	ADJ:dem,PRO:dem	m	s		s_2	c_e	2958,58	5219,1
mais	mE	mais	CON	ADV,CON				m_E_#	m_ai_s	4463,72	5179,05
me	m°	me	PRO:per	NOM,PRO:per		s		m_°	m_e	4264,32	4929,44
ai	E	avoir	AUX	AUX,VER			ind:pre:1s;	E	ai	2119,12	4902,1
nous	nu	nous	PRO:per	PRO:per		p		n_u_#	n_ou_s	3867,84	4772,12
dans	d@	dans	PRE	PRE				d_@_#	d_an_s	8296,08	4658,59
elle	El	elle	PRO:per	PRO:per	f	s		E_l_#	e_ll_e	6991,49	4520,53
du	dy	du	ART:def	ART:def	m	s		d_y	d_u	6882,16	4394,7
y	i	y	PRO:per	NOM,PRO:per,VER,ADV				i	y	3086,76	4346,55
t'	t	t'	PRO:per	NOM,PRO:per		s		t_#	t_'	779,93	4344,23
bien	bj5	bien	ADV	ADJ,ADV,NOM				b_j_5	b_i_en	2535,14	4213,78
plus	ply	plus	ADV	VER,ADV,NOM				p_l_y	p_l_us	5014,53	4062,45
non	n§	non	ADV	ADJ,ADV,NOM,PRO:per				n_§	n_on	1135,81	4040,18
te	t°	te	PRO:per	PRO:per		s		t_°	t_e	774,32	4006,1
mon	m§	mon	ADJ:pos	ADJ:pos,PRO:pos				m_§	m_on	2307,97	3848,99
au	o	au	ART:def	ART:def	m	s		o	au	5322,5	3737,75
avec	avEk	avec	PRE	PRE				a|v_E_k	a|v_e_c	4000,41	3704,89
moi	mwa	moi	PRO:per	NOM,PRO:per		s		m_wa	m_oi	1877,57	3675,68
en	@	en	PRO:per	ADV,PRE,PRO:per				@	en	2458,31	3536,55
va	va	aller	VER	VER,NOM			imp:pre:2s;ind:pre:3s;	v_a	v_a	694,59	3382,55
que	k°	que	PRO:rel	PRO:int,PRO:rel				k_°	qu_e	2975,34	3330,88
est	e	être	AUX	ADJ,NOM,AUX,VER			ind:pre:3s;	e_#_#	e_s_t	1600,27	3318,95
le	l°	le	PRO:per	ART:def,PRO:per	m	s		l_°	l_e	2424,19	3300,74
l'	l	l'	PRO:per	NOM,ART:def,LIA,PRO:per		s		l_#	l_'	2575,41	3260,83
oui	wi	oui	ADV	ADV				w_i	ou_i	637,57	3207,35
ils	il	ils	PRO:per	PRO:per	m	p		i_l_#	i_l_s	2809,53	3075,07
se	s°	se	PRO:per	PRO:per				s_°	s_e	6587,77	2813,77
fait	fE	faire	VER	VER,ADJ,NOM	m	s	ind:pre:3s;par:pas;par:pas;	f_E	f_ait	1459,26	2751,99
ce	s2	ce	ADJ:dem	ADJ:dem,PRO:dem	m	s		s_2	c_e	2436,55	2739,25
faire	fER	faire	VER	VER			inf;;inf;;inf;;inf;;	f_E_R_#	f_ai_r_e	1555,14	2735,96
sur	syR	sur	PRE	ADJ,NOM,PRE				s_y_R	s_u_r	5320,47	2520,11
toi	twa	toi	PRO:per	PRO:per		s		t_wa	t_oi	450,34	2519,5
sais	sE	savoir	VER	VER			ind:pre:1s;ind:pre:2s;	s_E	s_ais	615,27	2492,92
veux	v2	vouloir	VER	VER			ind:pre:1s;ind:pre:2s;	v_2_#	v_eu_x	377,97	2486,93
ai	E	avoir	VER	AUX,VER			ind:pre:1s;	E	ai	619,05	2475,78
s'	s	s'	PRO:per	NOM,CON,PRO:per				s_#	s_'	5391,62	2418,95
ici	isi	ici	ADV	ADJ:num,ADV				i|s_i	i|c_i	483,58	2411,21
rien	Rj5	rien	PRO:ind	NOM,PRO:ind		s		R_j_5	r_i_en	1522,91	2374,91
était	etE	être	VER	AUX,VER			ind:imp:3s;	e|t_E	é|t_ait	3688,99	2356,65
ma	ma	ma	ADJ:pos	ADJ:pos,NOM				m_a	m_a	1667,16	2346,9
comme	kOm	comme	CON	ADV,CON				k_O_m_#	c_o_mm_e	3429,32	2326,08
lui	l8i	lui	PRO:per	PRO:per,VER		s		l_8_i	l_u_i	4225,14	2308,74
dit	di	dire	VER	VER,ADJ,NOM	m	s	ind:fut:3p;ind:pre:3s;ind:pas:3s;par:pas;	d_i	d_it	2601,62	2146,01
as	a	avoir	AUX	AUX,VER,NOM			ind:pre:2s;	a	as	294,46	2144,15
si	si	si	ADV	ADV,CON,NOM				s_i	s_i	924,93	2107,14
là	la	là	ADV	ADV,ONO				l_a	l_à	1089,66	2096,53
cette	sEt	cette	ADJ:dem	ADJ:dem	f	s		s_E_t_#	c_e_tt_e	2320,68	1902,27
votre	vOtR	votre	ADJ:pos	ADJ:pos,PRO:pos				v_O_t_R_#	v_o_t_r_e	427,91	1894,09
es	E	être	VER	AUX,VER			ind:pre:2s;	E_#	e_s	256,62	1849,07
quand	k@	quand	CON	ADV,CON				k_@_#	qu_an_d	1480,07	1827,92
suis	s8i	suivre	VER	VER,AUX			imp:pre:2s;ind:pre:1s;	s_8_i_#	s_u_i_s	583,92	1819,44
alors	alOR	alors	ADV	ADV				a|l_O_R_#	a|l_o_r_s	1033,78	1777,65
par	paR	par	PRE	NOM,PRE				p_a_R	p_a_r	3727,09	1753,02
peux	p2	pouvoir	VER	VER			ind:pre:1s;ind:pre:2s;	p_2_#	p_eu_x	245,41	1743,78
son	s§	son	ADJ:pos	ADJ:pos,NOM				s_§	s_on	4696,15	1740,43
ton	t§	ton	ADJ:pos	ADJ:pos,NOM				t_§	t_on	310,47	1723,32
vais	vE	aller	VER	VER			ind:pre:1s;	v_E	v_ais	280	1644,99
très	tRE	très	ADV	ADV				t_R_E_#	t_r_è_s	1120,81	1589,92
ou	u	ou	CON	CON,PRO:per				u	ou	2429,86	1583,95
dire	diR	dire	VER	NOM,VER			inf;;inf;;inf;;inf;;inf;;	d_i_R_#	d_i_r_e	827,84	1564,52
quoi	kwa	quoi	ADJ	ADJ,ONO,PRO:int,PRO:rel	m	s		k_wa	qu_oi	210,88	1558,22
où	u	où	PRO:rel	PRO:int,PRO:rel				u	où	1767,23	1546,44
sont	s§	être	VER	AUX,VER			ind:pre:3p;	s_§	s_ont	713,18	1449,03
allez	ale	aller	VER	NOM,VER			imp:pre:2p;ind:pre:2p;	a|l_e	a|ll_ez	155,54	1414,85
aussi	osi	aussi	ADV	ADV				o|s_i	au|ss_i	1359,86	1402,33
voir	vwaR	voir	VER	VER			inf;;	v_wa_R	v_oi_r	716,55	1401,1
fais	fE	faire	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;	f_E	f_ais	224,26	1390,92
si	si	si	CON	ADV,CON,NOM				s_i	s_i	933,99	1374,43
tout	tu	tout	PRO:ind	ADJ,ADJ:ind,ADV,NOM,PRO:ind	m	s		t_u_#	t_ou_t	838,04	1366,45
jamais	ZamE	jamais	ADV	ADV				Z_a|m_E_#	j_a|m_ai_s	1122,97	1360,22
pourquoi	puRkwa	pourquoi	ADV	ADV,CON,NOM				p_u_R|k_wa	p_ou_r|qu_oi	185,54	1348,04
chose	Soz	chose	NOM	NOM	f	s		S_o_z_#	ch_o_s_e	695,2	1321,79
faut	fo	falloir	VER	VER			ind:pre:3s;	f_o_#	f_au_t	653,92	1318,11
sa	sa	sa	ADJ:pos	ADJ:pos,NOM				s_a	s_a	3732,43	1276,29
as	a	avoir	VER	AUX,VER,NOM			ind:pre:2s;	a	as	208,72	1274,31
suis	s8i	être	AUX	VER,AUX			ind:pre:1s;	s_8_i_#	s_u_i_s	560,47	1272,28
ta	ta	ta	ADJ:pos	ADJ:pos				t_a	t_a	251,69	1265,97
les	le	les	PRO:per	ART:def,PRO:per		p		l_e_#	l_e_s	1412,23	1240,75
ces	se	ces	ADJ:dem	ADJ:dem		p		s_e_#	c_e_s	1547,5	1222,51
peut	p2	pouvoir	VER	VER			ind:pre:3s;	p_2_#	p_eu_t	508,99	1209,64
encore	@kOR	encore	ADV	ADV				@|k_O_R_#	en|c_o_r_e	1579,05	1176,94
avez	ave	avoir	AUX	AUX,VER			ind:pre:2p;	a|v_e	a|v_ez	206,82	1122,37
être	EtR	être	VER	AUX,NOM,VER			inf;;inf;;inf;;	E_t_R_#	ê_t_r_e	505,61	1111,69
mes	me	mes	ADJ:pos	NOM,ADJ:pos,PRO:pos				m_e_#	m_e_s	1023,11	1102,23
la	la	la	PRO:per	ART:def,NOM,PRO:per	f	s		l_a	l_a	1242,64	1077,98
toujours	tuZuR	toujours	ADV	ADV				t_u|Z_u_R_#	t_ou|j_ou_r_s	1093,78	1072,36
ont	§	avoir	AUX	AUX,VER			ind:pre:3p;	§	ont	553,31	1063,32
tout	tu	tout	ADV	ADJ,ADJ:ind,ADV,NOM,PRO:ind				t_u_#	t_ou_t	1639,19	1058,64
été	ete	être	VER	NOM,AUX,VER	m	s	par:pas;	e|t_e	é|t_é	818,99	1041,22
temps	t@	temps	NOM	NOM	m	s		t_@_#	t_em_ps	1289,39	1031,05
maintenant	m5t°n@	maintenant	ADV	ADV,VER				m_5|t_°|n_@	m_ain|t_e|n_ant	496,76	1028,86
dis	di	dire	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:1s;ind:pre:2s;ind:pas:1s;	d_i	d_is	477,36	1025,78
notre	nOtR	notre	ADJ:pos	ADJ:pos,PRO:pos		s		n_O_t_R_#	n_o_t_r_e	680,68	1022,94
vas	va	aller	VER	VER			imp:pre:2s;ind:pre:2s;	v_a	v_as	136,35	1009,22
deux	d2	deux	ADJ:num	ADJ:num				d_2_#	d_eu_x	1557,91	1009,01
sans	s@	sans	PRE	PRE				s_@_#	s_an_s	2224,12	1003,44
êtes	Et	être	VER	AUX,VER			imp:pre:2p;ind:pre:2p;	E_t_#	ê_t_es	195,54	1002,88
vie	vi	vie	NOM	NOM	f	s		v_i_#	v_i_e	835,47	986,59
vraiment	vREm@	vraiment	ADV	ADV				v_R_E|m_@	v_r_ai|m_ent	274,32	968,57
viens	vj5	venir	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;inf;	v_j_5_#	v_i_en_s	126,49	944,81
merci	mERsi	merci	ONO	NOM,ONO				m_E_R|s_i	m_e_r|c_i	42,36	936,01
comment	kom@	comment	ADV	ADV,CON,NOM,ONO				k_o|m_@	c_o|mm_ent	164,93	922,93
tous	tus	tout	ADJ	PRO:ind,ADJ	m	p		t_u_s	t_ou_s	916,55	910,39
même	mEm	même	ADV	ADJ,ADV,PRO:ind				m_E_m_#	m_ê_m_e	1358,65	907,69
vu	vy	voir	VER	VER,ADJ,NOM	m	s	par:pas;	v_y	v_u	393,45	905,21
crois	kRwa	croire	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;	k_R_wa_#	c_r_oi_s	305,54	904,45
quoi	kwa	quoi	PRO:rel	ADJ,ONO,PRO:int,PRO:rel				k_wa	qu_oi	376,89	904,12
fois	fwa	fois	NOM	NOM	f	p		f_wa_#	f_oi_s	1140	899,25
oh	o	oh	ONO	NOM,ONO				o_#	o_h	197,09	897,52
peu	p2	peu	NOM	ADV,NOM	m			p_2	p_eu	1023,38	894,78
dois	dwa	devoir	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;inf;	d_wa_#	d_oi_s	102,03	894,69
quelque	kElk	quelque	ADJ:ind	ADJ:ind,ADV		s		k_E_l_k_#	qu_e_l_qu_e	557,77	884,61
père	pER	père	NOM	NOM	m	s		p_E_R_#	p_è_r_e	708,11	879,31
s'	s	s'	CON	NOM,CON,PRO:per				s_#	s_'	538,11	865,97
trop	tRo	trop	ADV	ADV				t_R_o_#	t_r_o_p	790	859,54
dieu	dj2	dieu	NOM	NOM	m	s		d_j_2	d_i_eu	368,51	852,91
chez	Se	chez	PRE	PRE				S_e	ch_ez	680,54	842,18
bon	b§	bon	ADJ	ADJ,ADV,NOM,ONO	m	s		b_§	b_on	376,28	836,29
aux	o	aux	ART:def	ART:def		p		o_#	au_x	1907,57	835,65
monde	m§d	monde	NOM	NOM	m	s		m_§_d_#	m_on_d_e	732,43	823,62
aller	ale	aller	VER	NOM,VER			inf;;inf;;inf;;	a|l_e	a|ll_er	368,04	816,76
femme	fam	femme	NOM	NOM	f	s		f_a_m_#	f_e_mm_e	680,2	806,57
sûr	syR	sûr	ADJ	ADJ	m	s		s_y_R	s_û_r	343,51	801,64
tout	tu	tout	ADJ	ADJ,ADJ:ind,ADV,NOM,PRO:ind	m	s		t_u_#	t_ou_t	680,47	797,55
homme	Om	homme	NOM	NOM	m	s		#_O_m_#	h_o_mm_e	852,23	781,11
que	k°	que	PRO:int	PRO:int,PRO:rel				k_°	qu_e	340,61	770,02
accord	akOR	accord	NOM	NOM	m	s		a|k_O_R_#	a|cc_o_r_d	124,66	761,77
besoin	b°zw5	besoin	NOM	NOM	m	s		b_°|z_w5	b_e|s_oin	251,76	758,04
ses	se	ses	ADJ:pos	ADJ:pos,NOM,PRO:pos				s_e_#	s_e_s	3105,41	757,68
aime	Em	aimer	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	E_m_#	ai_m_e	257,57	751,29
parler	paRle	parler	VER	ADJ,NOM,VER			inf;;inf;;inf;;inf;;	p_a_R|l_e	p_a_r|l_er	341,82	728,02
voilà	vwala	voilà	PRE	PRE				v_wa|l_a	v_oi|l_à	329,12	726,44
être	EtR	être	AUX	AUX,NOM,VER			inf;	E_t_R_#	ê_t_r_e	685,47	725,09
ans	@	an	NOM	NOM	m	p		@_#	an_s	609,05	718,17
veut	v2	vouloir	VER	VER			ind:pre:3s;	v_2_#	v_eu_t	210,61	701,19
tes	te	tes	ADJ:pos	ADJ:pos				t_e_#	t_e_s	145	690,24
vois	vwa	voir	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;	v_wa_#	v_oi_s	253,72	689,75
déjà	deZa	déjà	ADV	ADV,ONO				d_e|Z_a	d_é|j_à	702,23	681,89
vrai	vRE	vrai	ADJ	ADJ,NOM	m	s		v_R_E	v_r_ai	311,89	678,47
avoir	avwaR	avoir	AUX	AUX,NOM,VER			inf;	a|v_wa_R	a|v_oi_r	649,26	674,24
mère	mER	mère	NOM	NOM	f	s		m_E_R_#	m_è_r_e	737,09	672
suis	s8i	être	VER	VER,AUX			imp:pre:2s;ind:pre:1s;ind:pre:2s;	s_8_i_#	s_u_i_s	9,59	668,88
autre	otR	autre	ADJ	ADJ,ADV,NOM,PRO:ind		s		o_t_R_#	au_t_r_e	700,68	668,48
eu	y	avoir	VER	AUX,VER	m	s	par:pas;	y	eu	436,76	668,39
avez	ave	avoir	VER	AUX,VER			ind:pre:2p;	a|v_e	a|v_ez	134,19	661,88
quel	kEl	quel	ADJ:int	ADJ:int	m	s		k_E_l	qu_e_l	265,34	657,71
pourquoi	puRkwa	pourquoi	CON	ADV,CON,NOM				p_u_R|k_wa	p_ou_r|qu_oi	297,64	655,75
doit	dwa	devoir	VER	VER,NOM			ind:pre:3s;	d_wa_#	d_oi_t	224,59	654,84
juste	Zyst	juste	ADJ	ADJ,ADV,NOM		s		Z_y_s_t_#	j_u_s_t_e	147,77	653,49
mieux	mj2	mieux	ADV	ADV,NOM				m_j_2_#	m_i_eu_x	398,38	651,73
étais	etE	être	VER	NOM,AUX,VER			ind:imp:1s;ind:imp:2s;	e|t_E_#	é|t_ai_s	403,11	649,35
vos	vo	vos	ADJ:pos	ADJ:pos				v_o_#	v_o_s	180,27	649,07
jour	ZuR	jour	NOM	NOM	m	s		Z_u_R	j_ou_r	826,35	635,22
où	u	où	PRO:int	PRO:int,PRO:rel				u	où	300,88	630,81
quelqu'un	kElk1	quelqu'un	PRO:ind	PRO:ind		s		k_E_l|k_#_1	qu_e_l|qu_'_un	128,92	629
fille	fij	fille	NOM	NOM	f	s		f_i_j_#	f_i_ll_e	417,03	627,59
beaucoup	boku	beaucoup	ADV	ADV				b_o|k_u_#	b_eau|c_ou_p	461,42	626
regarde	R°gaRd	regarder	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	R_°|g_a_R_d_#	r_e|g_a_r_d_e	203,65	613,45
donc	d§k	donc	CON	CON				d_§_k	d_on_c	445,88	612,51
avait	avE	avoir	VER	AUX,VER			ind:imp:3s;	a|v_E	a|v_ait	1496,15	596,64
gens	Z@	gens	NOM	NOM		p		Z_@_#	g_en_s	409,39	594,29
après	apRE	après	PRE	ADV,PRE				a|p_R_E_#	a|p_r_è_s	821,55	593,92
monsieur	m°sj2	monsieur	NOM	NOM	m	s		m_°|s_j_2_#	m_on|s_i_eu_r	286,76	583,45
bonne	bOn	bon	ADJ	ADJ,NOM	f	s		b_O_n_#	b_o_nn_e	294,53	578,93
comme	kOm	comme	ADV	ADV,CON				k_O_m_#	c_o_mm_e	365,68	577,64
personne	pERsOn	personne	PRO:ind	ADJ,NOM,PRO:ind	m	s		p_E_R|s_O_n_#	p_e_r|s_o_nn_e	312,16	577,6
ah	a	ah	ONO	ONO				a_#	a_h	297,16	576,53
petit	p°ti	petit	ADJ	ADJ,ADV,NOM	m	s		p_°|t_i_#	p_e|t_i_t	653,78	573,72
maison	mEz§	maison	NOM	NOM		s		m_E|z_§	m_ai|s_on	461,55	570,3
bonjour	b§ZuR	bonjour	NOM	NOM	m	s		b_§|Z_u_R	b_on|j_ou_r	50,74	569,88
comment	kom@	comment	CON	ADV,CON,NOM,ONO				k_o|m_@	c_o|mm_ent	241,35	558,33
nuit	n8i	nuit	NOM	VER,NOM	f	s		n_8_i_#	n_u_i_t	672,36	557,56
soir	swaR	soir	NOM	NOM	m	s		s_wa_R	s_oi_r	527,23	555,85
un	1	un	PRO:ind	ADJ:num,ART:ind,PRO:ind	m	s		1	un	329,53	554,76
voulez	vule	vouloir	VER	VER			imp:pre:2p;ind:pre:2p;	v_u|l_e	v_ou|l_ez	113,58	553,4
peur	p2R	peur	NOM	NOM	f	s		p_2_R	p_eu_r	307,23	551,83
faites	fEt	faire	VER	VER,ADJ	f	p	imp:pre:2p;ind:pre:2p;par:pas;;imp:pre:2p;ind:pre:2p;par:pas;	f_E_t_#	f_ai_t_es	93,31	541,8
es	E	être	AUX	AUX,VER			ind:pre:2s;	E_#	e_s	77,7	539,36
maman	mam@	maman	NOM	NOM	f	s		m_a|m_@	m_a|m_an	140,2	537,44
ouais	wE	ouais	ADV	ADV				w_E_#	ou_ai_s	39,05	533,02
avant	av@	avant	PRE	ADJ,ADV,NOM,PRE				a|v_@	a|v_ant	574,32	529,51
nom	n§	nom	NOM	NOM	m	s		n_§	n_om	326,89	528,17
arrive	aRiv	arriver	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	a|R_i_v_#	a|rr_i_v_e	164,12	525,1
nos	no	nos	ADJ:pos	ADJ:pos		p		n_o_#	n_o_s	579,19	524,63
passe	pas	passer	VER	NOM,VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	p_a_s_#	p_a_ss_e	185,61	523,58
bon	b§	bon	ONO	ADJ,ADV,NOM,ONO				b_§	b_on	109,86	521,22
pense	p@s	penser	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	p_@_s_#	p_en_s_e	178,04	517,64
argent	aRZ@	argent	NOM	ADJ,NOM	m	s		a_R|Z_@	a_r|g_ent	194,32	515,04
quelle	kEl	quelle	ADJ:int	ADJ:int	f	s		k_E_l_#	qu_e_ll_e	244,39	512,55
sont	s§	être	AUX	AUX,VER			ind:pre:3p;	s_§	s_ont	386,35	511,66
allons	al§	aller	VER	VER			imp:pre:1p;ind:pre:1p;	a|l_§	a|ll_ons	129,8	500,21
cet	sEt	cet	ADJ:dem	ADJ:dem	m	s		s_E_t	c_e_t	497,5	499,91
plaît	plE	plaire	VER	VER			ind:pre:3s;	p_l_E_#	p_l_aî_t	55	499,91
cela	s°la	cela	PRO:dem	NOM,PRO:dem		s		s_°|l_a	c_e|l_a	741,82	492,56
vite	vit	vite	ADV	ADJ,ADV				v_i_t_#	v_i_t_e	351,89	491,64
appelle	apEl	appeler	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	a|p_E_l_#	a|pp_e_ll_e	132,36	485,77
depuis	d°p8i	depuis	PRE	ADV,PRE				d_°|p_8_i_#	d_e|p_u_i_s	542,64	483,95
fils	fis	fils	NOM	NOM	m			f_i_#_s	f_i_l_s	247,64	480,15
laisse	lEs	laisser	VER	NOM,VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	l_E_s_#	l_ai_ss_e	143,31	479,63
moins	mw5	moins	ADV	ADV,NOM				m_w5_#	m_oin_s	718,18	478,75
attends	at@	attendre	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;	a|t_@_#	a|tt_en_ds	62,57	478,32
sera	s°Ra	être	VER	AUX,VER			ind:fut:3s;	s_°|R_a	s_e|r_a	161,82	478,03
air	ER	air	NOM	NOM	m	s		E_R	ai_r	661,01	473,5
autre	otR	autre	PRO:ind	ADJ,ADV,NOM,PRO:ind		s		o_t_R_#	au_t_r_e	661,82	473,33
prendre	pR@dR	prendre	VER	VER			inf;;inf;;inf;;	p_R_@_d_R_#	p_r_en_d_r_e	344,05	465,77
seul	s9l	seul	ADJ	ADJ,NOM	m	s		s_9_l	s_eu_l	478,58	461,2
arrête	aREt	arrêter	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	a|R_E_t_#	a|rr_ê_t_e	85,07	456,59
mal	mal	mal	ADV	ADJ,ADV,NOM				m_a_l	m_a_l	349,46	453,95
tête	tEt	tête	NOM	NOM	f	s		t_E_t_#	t_ê_t_e	861,49	453,13
choses	Soz	chose	NOM	NOM,VER	f	p		S_o_z_#	ch_o_s_es	362,43	451,83
parle	paRl	parler	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	p_a_R_l_#	p_a_r_l_e	168,78	451,68
amour	amuR	amour	NOM	NOM	m	s		a|m_u_R	a|m_ou_r	373,58	450,46
enfants	@f@	enfant	NOM	NOM	m	p		@|f_@_#	en|f_an_ts	343,72	448,33
toute	tut	tout	ADJ	ADJ,ADJ:ind,PRO:ind	f	s		t_u_t_#	t_ou_t_e	602,84	441,79
tout	tu	tout	ADJ:ind	ADJ,ADJ:ind,ADV,NOM,PRO:ind	m	s		t_u_#	t_ou_t	436,15	440,69
hein	5	hein	ONO	ONO				#_5	h_ein	88,45	437,2
prends	pR@	prendre	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;	p_R_@_#	p_r_en_ds	70,2	431,5
jours	ZuR	jour	NOM	NOM	m	p		Z_u_R_#	j_ou_r_s	515,41	426,7
demain	d°m5	demain	ADV	ADJ,ADV,NOM				d_°|m_5	d_e|m_ain	134,12	425,85
raison	REz§	raison	NOM	NOM	f	s		R_E|z_§	r_ai|s_on	247,5	424,28
savoir	savwaR	savoir	VER	NOM,VER			inf;	s_a|v_wa_R	s_a|v_oi_r	250	421,1
elles	El	elles	PRO:per	PRO:per	f	p		E_l_#	e_ll_es	605,14	420,51
connais	konE	connaître	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;	k_o|n_E	c_o|nn_ais	111,35	415,87
voulais	vulE	vouloir	VER	VER			ind:imp:1s;ind:imp:2s;	v_u|l_E	v_ou|l_ais	107,3	415,76
heure	9R	heure	NOM	NOM	f	s		#_9_R_#	h_eu_r_e	439,86	415,4
avais	avE	avoir	AUX	AUX,VER			ind:imp:2s;	a|v_E	a|v_ais	566,76	412,04
savez	save	savoir	VER	VER			ind:pre:2p;	s_a|v_e	s_a|v_ez	132,91	407,94
assez	ase	assez	ADV	ADV				a|s_e	a|ss_ez	420,14	407,75
avoir	avwaR	avoir	VER	AUX,NOM,VER			inf;	a|v_wa_R	a|v_oi_r	177,3	404,19
moment	mom@	moment	NOM	NOM	m	s		m_o|m_@	m_o|m_ent	611,62	403,25
sait	sE	savoir	VER	VER			ind:pre:3s;	s_E	s_ait	245	401,46
donne	dOn	donner	VER	NOM,VER			imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	d_O_n_#	d_o_nn_e	149,26	401,06
avait	avE	avoir	AUX	AUX,VER			ind:imp:3s;	a|v_E	a|v_ait	3116,42	395,71
problème	pRoblEm	problème	NOM	NOM	m	s		p_R_o|b_l_E_m_#	p_r_o|b_l_è_m_e	55,2	391,2
combien	k§bj5	combien	ADV	ADV				k_§|b_j_5	c_om|b_i_en	108,04	390,58
coup	ku	coup	NOM	NOM	m	s		k_u_#	c_ou_p	641,55	389,49
voiture	vwatyR	voiture	NOM	NOM,VER		s		v_wa|t_y_R_#	v_oi|t_u_r_e	221,15	388,87
partir	paRtiR	partir	VER	VER			inf;	p_a_R|t_i_R	p_a_r|t_i_r	167,77	388,25
eh	e	eh	ONO	ONO				e_#	e_h	176,62	386
fait	fE	fait	NOM	VER,ADJ,NOM	m	s		f_E	f_ait	325,27	384,71
ont	§	avoir	VER	AUX,VER			ind:pre:3p;	§	ont	240,61	381,18
trois	tRwa	trois	ADJ:num	ADJ:num				t_R_wa_#	t_r_oi_s	660,34	380,8
tant	t@	tant	ADV	ADV				t_@	t_ant	436,42	380,34
merci	mERsi	merci	NOM	NOM,ONO		s		m_E_R|s_i	m_e_r|c_i	53,24	378,44
