ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
pénitence	penit@s	pénitence	NOM	f	s	2.96	5.95	2.96	5.00		1	2	1	9	7	CVCVCVCCV	CVCVCVC	1	1	9	7	pe-ni-t@s	3	CV-CV-CVC	ecnetinép	s@tinep	pé-ni-ten-ce	NOM	96	28	2.55	2.55	pénitence	1
qualifiais	kalifjE	qualifier	VER			6.18	11.62	0.00	0.14	ind:imp:1s;	1	3	0	10	7	CVVCVCVVVC	CVCVCYV	1	3	0	0	ka-li-fjE	3	CV-CV-CYV	siaifilauq	Ejfilak	qua-li-fiais	VER	94	17	2.65	2	qualifier	1
rectifies	REktifi	rectifier	VER			2.04	10.68	0.01	0.07	ind:pre:2s;	1	3	0	9	7	CVCCVCVVC	CVCCVCV	3	0	0	0	REk-ti-fi	3	CVC-CV-CV	seifitcer	ifitkER	rec-ti-fies	VER	100	26	2.15	2.4	rectifier	1
remplissait	R@plisE	remplir	VER			61.21	81.42	1.15	9.59	ind:imp:3s;	1	3	0	11	7	CVCCCVCCVVC	CVCCVCV	2	5	0	0	R@-pli-sE	3	CV-CCV-CV	tiassilpmer	Esilp@R	rem-plis-sait	VER	100	20	2.3	1.65	remplir	1
remplissant	R@plis@	remplir	VER			61.21	81.42	0.48	2.43	par:pre;	1	1	0	11	7	CVCCCVCCVCC	CVCCVCV	2	4	0	0	R@-pli-s@	3	CV-CCV-CV	tnassilpmer	@silp@R	rem-plis-sant	VER	100	20	2.35	1.7	remplir	1
remplisse	R@plis	remplir	VER			61.21	81.42	1.09	0.61	sub:pre:1s;sub:pre:3s;	1	3	0	9	6	CVCCCVCCV	CVCCVC	0	2	0	0	R@-plis	2	CV-CCVC	essilpmer	silp@R	rem-plis-se	VER	100	20	2.25	1.6	remplir	1
remplissent	R@plis	remplir	VER			61.21	81.42	2.17	2.50	ind:pre:3p;	1	3	0	11	6	CVCCCVCCVCC	CVCCVC	1	2	0	0	R@-plis	2	CV-CCVC	tnessilpmer	silp@R	rem-plis-sent	VER	100	20	2.2	1.6	remplir	1
remplisses	R@plis	remplir	VER			61.21	81.42	0.17	0.20	sub:pre:2s;	1	3	0	10	6	CVCCCVCCVC	CVCCVC	1	2	0	0	R@-plis	2	CV-CCVC	sessilpmer	silp@R	rem-plis-ses	VER	100	20	2.45	1.6	remplir	1
remplisseur	R@plis9R	remplisseur	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	11	8	CVCCCVCCVVC	CVCCVCVC	0	0	9	7	R@-pli-s9R	3	CV-CCV-CVC	ruessilpmer	R9silp@R	rem-plis-seur	NOM	92	25	2.95	2.45	re-emplir-eur	3
remplissez	R@plise	remplir	VER			61.21	81.42	4.65	0.41	imp:pre:2p;ind:pre:2p;	1	1	0	10	7	CVCCCVCCVC	CVCCVCV	1	5	0	0	R@-pli-se	3	CV-CCV-CV	zessilpmer	esilp@R	rem-plis-sez	VER	100	20	2.45	1.6	remplir	1
remplissiez	R@plisje	remplir	VER			61.21	81.42	0.17	0.00	ind:imp:2p;	1	1	0	11	8	CVCCCVCCVVC	CVCCVCYV	0	2	0	0	R@-pli-sje	3	CV-CCV-CYV	zeissilpmer	ejsilp@R	rem-plis-siez	VER	100	20	2.95	1.95	remplir	1
remplissions	R@plisj§	remplir	VER			61.21	81.42	0.01	0.07	ind:imp:1p;	1	1	0	12	8	CVCCCVCCVVCC	CVCCVCYV	0	1	0	0	R@-pli-sj§	3	CV-CCV-CYV	snoissilpmer	§jsilp@R	rem-plis-sions	VER	100	20	3.15	2.15	remplir	1
remplissons	R@plis§	remplir	VER			61.21	81.42	0.18	0.14	imp:pre:1p;ind:pre:1p;	1	1	0	11	7	CVCCCVCCVCC	CVCCVCV	0	5	0	0	R@-pli-s§	3	CV-CCV-CV	snossilpmer	§silp@R	rem-plis-sons	VER	100	20	2.55	1.6	remplir	1
remplit	R@pli	remplir	VER			61.21	81.42	5.20	14.26	ind:pre:3s;ind:pas:3s;	1	10	0	7	5	CVCCCVC	CVCCV	4	1	0	5	R@-pli	2	CV-CCV	tilpmer	ilp@R	rem-plit	VER	100	20	1.7	1.8	remplir	1
remploi	R@plwa	remploi	NOM	m	s	0.00	0.20	0.00	0.20		1	1	1	7	6	CVCCCVV	CVCCYV	0	0	7	5	R@p-lwa	2	CVC-CYV	iolpmer	awlp@R	rem-ploi	NOM	36	11	2.1	1.9	remploi	1
remployée	R@plwaje	remployer	VER	f	s	0.00	0.07	0.00	0.07	par:pas;	1	1	0	9	8	CVCCCVVVV	CVCCYVYV	0	0	0	0	R@p-lwa-je	3	CVC-CYV-YV	eéyolpmer	ejawlp@R	rem-ployée	VER			2.6	1.9	remployer	1
remplumer	R@plyme	remplumer	VER			0.09	0.34	0.04	0.27	inf;	1	3	1	9	7	CVCCCVCVC	CVCCVCV	1	0	6	5	R@-ply-me	3	CV-CCV-CV	remulpmer	emylp@R	rem-plu-mer	VER	96	28	2.7	2.5	remplumer	1
remplumez	R@plyme	remplumer	VER			0.09	0.34	0.02	0.00	imp:pre:2p;ind:pre:2p;	1	3	0	9	7	CVCCCVCVC	CVCCVCV	1	0	0	5	R@-ply-me	3	CV-CCV-CV	zemulpmer	emylp@R	rem-plu-mez	VER	96	28	2.7	2.5	remplumer	1
remplumé	R@plyme	remplumer	VER	m	s	0.09	0.34	0.03	0.07	par:pas;	1	3	0	8	7	CVCCCVCV	CVCCVCV	0	0	0	5	R@-ply-me	3	CV-CCV-CV	émulpmer	emylp@R	rem-plu-mé	VER	96	28	2.55	2.5	remplumer	1
remplît	R@pli	remplir	VER			61.21	81.42	0.00	0.20	sub:imp:3s;	1	10	0	7	5	CVCCCVC	CVCCV	1	1	0	5	R@-pli	2	CV-CCV	tîlpmer	ilp@R	rem-plît	VER	100	20	2.15	1.8	remplir	1
rempochait	R@poSE	rempocher	VER			0.00	0.20	0.00	0.07	ind:imp:3s;	1	1	0	10	6	CVCCVCCVVC	CVCVCV	0	0	0	0	R@-po-SE	3	CV-CV-CV	tiahcopmer	ESop@R	rem-po-chait	VER			2.45	1.95	rempocher	1
rempoche	R@pOS	rempocher	VER			0.00	0.20	0.00	0.14	ind:pre:1s;ind:pre:3s;	1	1	0	8	5	CVCCVCCV	CVCVC	0	0	0	0	R@-pOS	2	CV-CVC	ehcopmer	SOp@R	rem-po-che	VER			2.3	1.95	rempocher	1
remporta	R@pORta	remporter	VER			9.27	10.61	0.27	0.27	ind:pas:3s;	1	2	0	8	7	CVCCVCCV	CVCVCCV	2	5	0	0	R@-pOR-ta	3	CV-CVC-CV	atropmer	atROp@R	rem-por-ta	VER	100	25	1.75	1.55	remporter	1
requinquera	R°k5k°Ra	requinquer	VER			1.30	1.89	0.19	0.00	ind:fut:3s;	1	1	0	11	8	CVCVVCCVVCV	CVCVCVCV	0	1	0	0	R°-k5-k°-Ra	4	CV-CV-CV-CV	areuqniuqer	aR°k5k°R	re-quin-que-ra	VER	100	24	3.25		requinquer	1
récapitulant	Rekapityl@	récapituler	VER			2.65	1.62	0.01	0.20	par:pre;	1	1	0	12	10	CVCVCVCVCVCC	CVCVCVCVCV	2	4	0	0	Re-ka-pi-ty-l@	5	CV-CV-CV-CV-CV	tnalutipacér	@lytipakeR	ré-ca-pi-tu-lant	VER	96	29	2.65	2.7	récapituler	1
réintégrèrent	Re5tegRER	réintégrer	VER			2.94	5.20	0.00	0.20	ind:pas:3p;	1	1	0	13	9	CVVCCVCCVCVCC	CVVCVCCVC	0	0	0	0	Re-5-te-gRER	4	CV-V-CV-CCVC	tnerèrgétniér	RERget5eR	ré-in-té-grè-rent	VER	90	21	3.55	2.85	réintégrer	1
sabotais	sabotE	saboter	VER			6.25	2.77	0.02	0.07	ind:imp:1s;	1	2	0	8	6	CVCVCVVC	CVCVCV	2	4	0	0	sa-bo-tE	3	CV-CV-CV	siatobas	Etobas	sa-bo-tais	VER	100	28	2	1.8	saboter	1
salariaux	salaRjo	salarial	ADJ	m	p	0.18	0.00	0.01	0.00		1	1	0	9	7	CVCVCVVVC	CVCVCYV	0	3	0	0	sa-la-Rjo	3	CV-CV-CYV	xuairalas	ojRalas	sa-la-riaux	ADJ			2.95	2.4	salarial	1
sectionnant	sEksjOn@	sectionner	VER			1.75	1.89	0.04	0.00	par:pre;	1	1	0	11	8	CVCCVVCCVCC	CVCCYVCV	1	0	0	0	sEk-sjO-n@	3	CVC-CYV-CV	tnannoitces	@nOjskEs		VER	100	28	2.55	2.75	sectionner	1
souffris	sufRi	souffrir	VER			113.83	119.26	0.03	0.68	ind:pas:1s;ind:pas:2s;	1	3	0	8	5	CVVCCCVC	CVCCV	3	4	0	0	su-fRi	2	CV-CCV	sirffuos	iRfus	souf-fris	VER	100	12	1.8	1.5	souffrir	1
stylite	stilit	stylite	NOM	m	s	0.00	0.27	0.00	0.27		1	1	1	7	6	CCVCVCV	CCVCVC	1	1	6	6	sti-lit	2	CCV-CVC	etilyts	tilits	s-ty-li-te	NOM	15	33	2.35	1.9	stylo-ite	2
suivrez	s8ivRe	suivre	VER			2090.54	949.12	1.18	0.20	ind:fut:2p;	1	1	0	7	6	CVVCCVC	CYVCCV	1	5	0	0	s8i-vRe	2	CYV-CCV	zervius	eRvi8s	sui-vrez	VER	100	23	1.8	1.65	suivre	1
tartinait	taRtinE	tartiner	VER			0.65	3.18	0.00	0.34	ind:imp:3s;	1	3	0	9	7	CVCCVCVVC	CVCCVCV	2	4	0	0	taR-ti-nE	3	CVC-CV-CV	tianitrat	EnitRat	tar-ti-nait	VER	100	19	2.1	1.7	tartiner	1
teutonne	t2tOn	teuton	ADJ	f	s	0.25	0.74	0.12	0.54		2	4	0	8	5	CVVCVCCV	CVCVC	0	1	7	4	t2-tOn	2	CV-CVC	ennotuet	nOt2t	teu-ton-ne	ADJ,NOM	74	31	2.5	1.95	teuton	1
tournâmes	tuRnam	tourner	VER			204.15	377.09	0.00	0.41	ind:pas:1p;	1	1	0	9	6	CVVCCVCVC	CVCCVC	0	1	0	0	tuR-nam	2	CVC-CVC	semânruot	manRut	tour-nâ-mes	VER	96	28	2.7	1.9	tourner	1
toussote	tusOt	toussoter	VER			0.14	5.14	0.00	0.95	ind:pre:1s;ind:pre:3s;	1	2	0	8	5	CVVCCVCV	CVCVC	2	0	0	0	tu-sOt	2	CV-CVC	etossuot	tOsut	tous-so-te	VER	82	23	2.3	2	toussoter	1
trempette	tR@pEt	trempette	NOM	f	s	0.95	0.41	0.95	0.41		1	1	1	9	6	CCVCCVCCV	CCVCVC	1	4	7	5	tR@-pEt	2	CCV-CVC	ettepmert	tEp@Rt	trem-pet-te	NOM	95	21	2.6	1.7	tremper-ette	2
trempeur	tR@p9R	trempeur	NOM	m	s	0.16	0.00	0.16	0.00		1	1	1	8	6	CCVCCVVC	CCVCVC	1	5	7	5	tR@-p9R	2	CCV-CVC	ruepmert	R9p@Rt		NOM			2.15	1.75	tremper-eur	2
trempez	tR@pe	tremper	VER			15.88	32.16	0.22	0.00	imp:pre:2p;ind:pre:2p;	1	10	0	7	5	CCVCCVC	CCVCV	3	7	0	5	tR@-pe	2	CCV-CV	zepmert	ep@Rt	trem-pez	VER	100	19	1.8	1.55	tremper	1
trempions	tR@pj§	tremper	VER			15.88	32.16	0.00	0.07	ind:imp:1p;	1	1	0	9	6	CCVCCVVCC	CCVCYV	1	1	0	0	tR@-pj§	2	CCV-CYV	snoipmert	§jp@Rt	trem-pions	VER	100	19	2.5	1.85	tremper	1
tremplin	tR@pl5	tremplin	NOM	m	s	0.36	1.28	0.36	1.28		1	1	1	8	6	CCVCCCVC	CCVCCV	0	1	6	5	tR@-pl5	2	CCV-CCV	nilpmert	5lp@Rt	trem-plin	NOM	95	24	2.5	1.95	tremplin	1
trempoline	tR@pOlin	trempoline	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	10	8	CCVCCVCVCV	CCVCVCVC	1	1	6	5	tR@-pO-lin	3	CCV-CV-CVC	enilopmert	nilOp@Rt		NOM			3.55	3.05	trempoline	1
trempons	tR@p§	tremper	VER			15.88	32.16	0.04	0.07	imp:pre:1p;ind:pre:1p;	1	1	0	8	5	CCVCCVCC	CCVCV	1	8	0	0	tR@-p§	2	CCV-CV	snopmert	§p@Rt	trem-pons	VER	100	19	1.95	1.4	tremper	1
trempèrent	tR@pER	tremper	VER			15.88	32.16	0.01	0.20	ind:pas:3p;	1	1	0	10	6	CCVCCVCVCC	CCVCVC	1	5	0	0	tR@-pER	2	CCV-CVC	tnerèpmert	REp@Rt	trem-pè-rent	VER	100	19	2.5	1.6	tremper	1
trempé	tR@pe	tremper	VER	m	s	15.88	32.16	5.37	8.11	par:pas;	2	10	0	6	5	CCVCCV	CCVCV	3	7	6	5	tR@-pe	2	CCV-CV	épmert	ep@Rt	trem-pé	VER,ADJ	100	19	1.75	1.55	tremper	1
trempé	tR@pe	trempé	ADJ	m	s	3.40	9.59	1.80	3.85		2	10	1	6	5	CCVCCV	CCVCV	3	7	6	5	tR@-pe	2	CCV-CV	épmert	ep@Rt	trem-pé	VER,ADJ	100	28	1.75	1.55	trempé	1
trempée	tR@pe	tremper	VER	f	s	15.88	32.16	2.59	3.18	par:pas;	2	10	0	7	5	CCVCCVV	CCVCV	2	7	0	5	tR@-pe	2	CCV-CV	eépmert	ep@Rt	trem-pée	VER,ADJ	100	19	1.75	1.55	tremper	1
trempée	tR@pe	trempé	ADJ	f	s	3.40	9.59	1.03	2.43		2	10	0	7	5	CCVCCVV	CCVCV	2	7	0	5	tR@-pe	2	CCV-CV	eépmert	ep@Rt	trem-pée	VER,ADJ	100	28	1.75	1.55	trempé	1
trempées	tR@pe	tremper	VER	f	p	15.88	32.16	0.41	1.22	par:pas;	2	10	0	8	5	CCVCCVVC	CCVCV	1	7	0	5	tR@-pe	2	CCV-CV	seépmert	ep@Rt	trem-pées	VER,ADJ	100	19	1.8	1.55	tremper	1
trempées	tR@pe	trempé	ADJ	f	p	3.40	9.59	0.20	1.08		2	10	0	8	5	CCVCCVVC	CCVCV	1	7	0	5	tR@-pe	2	CCV-CV	seépmert	ep@Rt	trem-pées	VER,ADJ	100	28	1.8	1.55	trempé	1
trempés	tR@pe	tremper	VER	m	p	15.88	32.16	1.28	3.11	par:pas;	2	10	0	7	5	CCVCCVC	CCVCV	3	7	0	5	tR@-pe	2	CCV-CV	sépmert	ep@Rt	trem-pés	VER,ADJ	100	19	1.75	1.55	tremper	1
trempés	tR@pe	trempé	ADJ	m	p	3.40	9.59	0.37	2.23		2	10	0	7	5	CCVCCVC	CCVCV	3	7	0	5	tR@-pe	2	CCV-CV	sépmert	ep@Rt	trem-pés	VER,ADJ	100	28	1.75	1.55	trempé	1
trench	tREnS	trench	NOM	m	s	0.41	0.20	0.41	0.20		1	1	1	6	5	CCVCCC	CCVCC	1	7	6	5	tREnS	1	CCVCC	hcnert	SnERt	tren-ch	NOM	35	14	2.3	1.6	trench	1
trench-coat	tREnSkOwt	trench-coat	NOM	m	s	0.04	1.55	0.04	1.49		1	2	1	11	9	CCVCCC-CVVC	CCVCCCVYC	0	0	7	6	tREn-SkOwt	2	CCVC-CCVYC	taoc-hcnert	twOkSnERt	trench-coat	NOM			4.75	4.7	trench-coat	2
trench-coats	tREnSkOwt	trench-coat	NOM	m	p	0.04	1.55	0.00	0.07		1	2	0	12	9	CCVCCC-CVVCC	CCVCCCVYC	0	0	0	6	tREn-SkOwt	2	CCVC-CCVYC	staoc-hcnert	twOkSnERt	trench-coats	NOM			5.3	4.7	trench-coat	2
trentaine	tR@tEn	trentaine	NOM	f	s	3.23	13.45	3.23	13.45		1	1	1	9	6	CCVCCVVCV	CCVCVC	0	0	6	5	tR@-tEn	2	CCV-CVC	eniatnert	nEt@Rt	tren-tai-ne	NOM	95	23	2.85	2	trentaine	1
trimbalais	tR5balE	trimbaler	VER			1.62	7.09	0.00	0.34	ind:imp:1s;ind:imp:2s;	1	6	0	10	7	CCVCCVCVVC	CCVCVCV	1	4	0	0	tR5-ba-lE	3	CCV-CV-CV	sialabmirt	Elab5Rt	trim-ba-lais	VER	94	19	2.35	1.7	trimbaler	1
trypanosomiase	tRipanozomjaz	trypanosomiase	NOM	f	s	0.13	0.00	0.13	0.00		1	1	1	14	13	CCVCVCVCVCVVCV	CCVCVCVCVCYVC	0	0	11	11	tRi-pa-no-zo-mjaz	5	CCV-CV-CV-CV-CYVC	esaimosonapyrt	zajmozonapiRt		NOM			6.2	6.7	trypanosome-ase	2
tutoyeuses	tytwaj2z	tutoyeur	ADJ	f	p	0.00	0.07	0.00	0.07		1	1	0	10	8	CVCVVVVCVC	CVCYVYVC	0	0	0	0	ty-twa-j2z	3	CV-CYV-YVC	sesueyotut	z2jawtyt	tu-toyeu-ses	ADJ			3.4	2.6	tutoyer-eur	2
vendéen	v@de5	vendéen	ADJ	m	s	0.00	0.34	0.00	0.14		2	3	1	7	5	CVCCVVC	CVCVV	0	0	6	5	v@-de-5	3	CV-CV-V	neédnev	5ed@v	ven-déen	ADJ,NOM	90	20	2.2	1.95	vendéen	1
éclaireraient	eklER°RE	éclairer	VER			18.03	85.95	0.01	0.07	cnd:pre:3p;	1	2	0	13	8	VCCVVCVCVVVCC	VCCVCVCV	0	2	0	0	e-klE-R°-RE	4	V-CCV-CV-CV	tneiarerialcé	ER°RElke	é-clai-re-raient	VER	100	23	2.85		éclairer	1
écrivez	ekRive	écrire	VER			305.92	341.82	9.04	5.20	imp:pre:2p;ind:pre:2p;	1	1	0	7	6	VCCVCVC	VCCVCV	2	7	0	0	e-kRi-ve	3	V-CCV-CV	zevircé	eviRke	é-cri-vez	VER	96	29	1.75	1.5	écrire	1
émailler	emaje	émailler	VER			0.24	2.84	0.01	0.34	inf;	1	9	1	8	5	VCVVCCVC	VCVYV	3	6	7	5	e-ma-je	3	V-CV-YV	relliamé	ejame	é-mail-ler	VER	86	15	1.7	1.5	émailler	1
éponger	ep§Ze	éponger	VER			0.97	10.20	0.51	2.97	inf;	1	5	1	7	5	VCVCCVC	VCVCV	3	4	7	5	e-p§-Ze	3	V-CV-CV	regnopé	eZ§pe	é-pon-ger	VER	100	22	1.8	1.65	éponger	1
équilibrées	ekilibRe	équilibrer	VER	f	p	1.97	5.34	0.00	0.27	par:pas;	2	9	0	11	8	VCVVCVCCVVC	VCVCVCCV	0	3	0	8	e-ki-li-bRe	4	V-CV-CV-CCV	seérbiliuqé	eRbilike	é-qui-li-brées	VER,ADJ	100	33	2.75	2.3	équilibrer	1
équilibrées	ekilibRe	équilibré	ADJ	f	p	2.23	2.57	0.02	0.34		2	9	0	11	8	VCVVCVCCVVC	VCVCVCCV	0	3	0	8	e-ki-li-bRe	4	V-CV-CV-CCV	seérbiliuqé	eRbilike	é-qui-li-brées	VER,ADJ	100	16	2.75	2.3	équilibré	1
équilibrés	ekilibRe	équilibrer	VER	m	p	1.97	5.34	0.05	0.07	par:pas;	2	9	0	10	8	VCVVCVCCVC	VCVCVCCV	2	3	0	8	e-ki-li-bRe	4	V-CV-CV-CCV	sérbiliuqé	eRbilike	é-qui-li-brés	VER,ADJ	100	33	2.55	2.3	équilibrer	1
équilibrés	ekilibRe	équilibré	ADJ	m	p	2.23	2.57	0.21	0.20		2	9	0	10	8	VCVVCVCCVC	VCVCVCCV	2	3	0	8	e-ki-li-bRe	4	V-CV-CV-CCV	sérbiliuqé	eRbilike	é-qui-li-brés	VER,ADJ	100	16	2.55	2.3	équilibré	1
équin	ekin	équin	ADJ	m	s	0.05	0.07	0.00	0.07		1	2	1	5	4	VCVVC	VCVC	0	4	5	4	e-kin	2	V-CVC	niuqé	nike	é-quin	ADJ	39	23	1.9	1.75	équin	1
équine	ekin	équin	ADJ	f	s	0.05	0.07	0.05	0.00		1	2	0	6	4	VCVVCV	VCVC	1	4	0	4	e-kin	2	V-CVC	eniuqé	nike	é-qui-ne	ADJ	39	23	1.85	1.75	équin	1
équinoxe	ekinOks	équinoxe	NOM	m	s	0.44	3.18	0.44	2.50		1	2	1	8	7	VCVVCVCV	VCVCVCC	0	0	6	5	e-ki-nOks	3	V-CV-CVCC	exoniuqé	skOnike	é-qui-noxe	NOM	96	32	3.2	3	équinoxe	1
équinoxes	ekinOks	équinoxe	NOM	m	p	0.44	3.18	0.00	0.68		1	2	0	9	7	VCVVCVCVC	VCVCVCC	0	0	0	5	e-ki-nOks	3	V-CV-CVCC	sexoniuqé	skOnike	é-qui-noxes	NOM	96	32	3.5	3	équinoxe	1
équipa	ekipa	équiper	VER			6.27	9.46	0.01	0.07	ind:pas:3s;	1	1	0	6	5	VCVVCV	VCVCV	2	5	0	0	e-ki-pa	3	V-CV-CV	apiuqé	apike	é-qui-pa	VER	100	22	2	1.55	équiper	1
équipage	ekipaZ	équipage	NOM	m	s	19.91	17.16	18.48	11.28		1	2	1	8	6	VCVVCVCV	VCVCVC	0	0	6	5	e-ki-paZ	3	V-CV-CVC	egapiuqé	Zapike	é-qui-pa-ge	NOM	95	21	2.55	1.95	équipe-age	2
équipages	ekipaZ	équipage	NOM	m	p	19.91	17.16	1.42	5.88		1	2	0	9	6	VCVVCVCVC	VCVCVC	0	0	0	5	e-ki-paZ	3	V-CV-CVC	segapiuqé	Zapike	é-qui-pa-ges	NOM	95	21	2.75	1.95	équipe-age	2
équipai	ekipE	équiper	VER			6.27	9.46	0.01	0.00	ind:pas:1s;	1	2	0	7	5	VCVVCVV	VCVCV	0	5	0	0	e-ki-pE	3	V-CV-CV	iapiuqé	Epike	é-qui-pai	VER	100	22	2.25	1.6	équiper	1
équipait	ekipE	équiper	VER			6.27	9.46	0.00	0.20	ind:imp:3s;	1	2	0	8	5	VCVVCVVC	VCVCV	1	5	0	0	e-ki-pE	3	V-CV-CV	tiapiuqé	Epike	é-qui-pait	VER	100	22	2.55	1.6	équiper	1
équipant	ekip@	équiper	VER			6.27	9.46	0.01	0.27	par:pre;	1	1	0	8	5	VCVVCVCC	VCVCV	2	5	0	0	e-ki-p@	3	V-CV-CV	tnapiuqé	@pike	é-qui-pant	VER	100	22	2.5	1.65	équiper	1
équipe	ekip	équipe	NOM	f	s	129.97	34.32	118.00	26.28		2	5	1	6	4	VCVVCV	VCVC	3	3	6	4	e-kip	2	V-CVC	epiuqé	pike	é-qui-pe	NOM,VER	100	22	1.65	1.55	équipe	1
équipe	ekip	équiper	VER			6.27	9.46	0.83	0.81	imp:pre:2s;ind:pre:1s;ind:pre:3s;	2	5	0	6	4	VCVVCV	VCVC	3	3	6	4	e-kip	2	V-CVC	epiuqé	pike	é-qui-pe	NOM,VER	100	22	1.65	1.55	équiper	1
équipement	ekip°m@	équipement	NOM	m	s	12.82	8.51	10.71	6.42		1	2	1	10	7	VCVVCVCVCC	VCVCVCV	0	0	7	5	e-ki-p°-m@	4	V-CV-CV-CV	tnemepiuqé	@m°pike	é-qui-pe-ment	NOM	100	21	3		équipe-ment	2
équipements	ekip°m@	équipement	NOM	m	p	12.82	8.51	2.11	2.09		1	2	0	11	7	VCVVCVCVCCC	VCVCVCV	0	0	0	5	e-ki-p°-m@	4	V-CV-CV-CV	stnemepiuqé	@m°pike	é-qui-pe-ments	NOM	100	21	3.4		équipe-ment	2
équipent	ekip	équiper	VER			6.27	9.46	0.15	0.14	ind:pre:3p;	1	5	0	8	4	VCVVCVCC	VCVC	1	3	0	4	e-kip	2	V-CVC	tnepiuqé	pike	é-qui-pent	VER	100	22	2.25	1.55	équiper	1
équiper	ekipe	équiper	VER			6.27	9.46	0.89	1.89	inf;	1	10	1	7	5	VCVVCVC	VCVCV	2	7	7	5	e-ki-pe	3	V-CV-CV	repiuqé	epike	é-qui-per	VER	100	22	1.8	1.55	équiper	1
éveilleras	evEj°Ra	éveiller	VER			17.28	55.27	0.02	0.00	ind:fut:2s;	1	2	0	10	7	VCVVCCVCVC	VCVYVCV	1	4	0	0	e-vE-j°-Ra	4	V-CV-YV-CV	sarellievé	aR°jEve	é-veil-le-ras	VER	92	26	2.05		éveiller	1
